data_path,target_path,room_corners,room_absorption,room_mics,room_source
/home/eriklarsson/rirnet/peaks_GAN/database/data/0_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/0_p.npy,"[[14.178092  0.        0.       14.178092 14.178092 14.178092]
 [18.088533 18.088533  0.        0.        0.       18.088533]
 [ 0.        0.        0.        0.        0.        3.275245]]",[0.71574608 0.71574608 0.71574608 0.71574608 0.71574608 0.71574608],[ 5.29921459 12.0749573   2.73186143],[ 3.91598877 16.57172885  0.61107202]
/home/eriklarsson/rirnet/peaks_GAN/database/data/1_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/1_p.npy,"[[14.178092  0.        0.       14.178092 14.178092 14.178092]
 [18.088533 18.088533  0.        0.        0.       18.088533]
 [ 0.        0.        0.        0.        0.        3.275245]]",[0.71574608 0.71574608 0.71574608 0.71574608 0.71574608 0.71574608],[9.58129297 7.44945884 1.37572752],[ 3.91598877 16.57172885  0.61107202]
/home/eriklarsson/rirnet/peaks_GAN/database/data/2_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/2_p.npy,"[[14.178092  0.        0.       14.178092 14.178092 14.178092]
 [18.088533 18.088533  0.        0.        0.       18.088533]
 [ 0.        0.        0.        0.        0.        3.275245]]",[0.71574608 0.71574608 0.71574608 0.71574608 0.71574608 0.71574608],[9.81851378 3.23521764 2.73363541],[ 3.91598877 16.57172885  0.61107202]
/home/eriklarsson/rirnet/peaks_GAN/database/data/3_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/3_p.npy,"[[14.178092  0.        0.       14.178092 14.178092 14.178092]
 [18.088533 18.088533  0.        0.        0.       18.088533]
 [ 0.        0.        0.        0.        0.        3.275245]]",[0.71574608 0.71574608 0.71574608 0.71574608 0.71574608 0.71574608],[ 3.30994564 14.43821563  1.85235795],[ 3.91598877 16.57172885  0.61107202]
/home/eriklarsson/rirnet/peaks_GAN/database/data/4_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/4_p.npy,"[[14.178092  0.        0.       14.178092 14.178092 14.178092]
 [18.088533 18.088533  0.        0.        0.       18.088533]
 [ 0.        0.        0.        0.        0.        3.275245]]",[0.71574608 0.71574608 0.71574608 0.71574608 0.71574608 0.71574608],[8.1214364  5.96665569 0.88850656],[ 3.91598877 16.57172885  0.61107202]
/home/eriklarsson/rirnet/peaks_GAN/database/data/5_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/5_p.npy,"[[14.178092  0.        0.       14.178092 14.178092 14.178092]
 [18.088533 18.088533  0.        0.        0.       18.088533]
 [ 0.        0.        0.        0.        0.        3.275245]]",[0.71574608 0.71574608 0.71574608 0.71574608 0.71574608 0.71574608],[ 1.33415603 17.22213872  1.82349589],[ 3.91598877 16.57172885  0.61107202]
/home/eriklarsson/rirnet/peaks_GAN/database/data/6_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/6_p.npy,"[[14.178092  0.        0.       14.178092 14.178092 14.178092]
 [18.088533 18.088533  0.        0.        0.       18.088533]
 [ 0.        0.        0.        0.        0.        3.275245]]",[0.71574608 0.71574608 0.71574608 0.71574608 0.71574608 0.71574608],[2.40769911 5.07550127 2.18459604],[ 3.91598877 16.57172885  0.61107202]
/home/eriklarsson/rirnet/peaks_GAN/database/data/7_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/7_p.npy,"[[14.178092  0.        0.       14.178092 14.178092 14.178092]
 [18.088533 18.088533  0.        0.        0.       18.088533]
 [ 0.        0.        0.        0.        0.        3.275245]]",[0.71574608 0.71574608 0.71574608 0.71574608 0.71574608 0.71574608],[13.23069631  9.8234559   1.22078656],[ 3.91598877 16.57172885  0.61107202]
/home/eriklarsson/rirnet/peaks_GAN/database/data/8_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/8_p.npy,"[[14.178092  0.        0.       14.178092 14.178092 14.178092]
 [18.088533 18.088533  0.        0.        0.       18.088533]
 [ 0.        0.        0.        0.        0.        3.275245]]",[0.71574608 0.71574608 0.71574608 0.71574608 0.71574608 0.71574608],[ 6.95411212 17.49648692  2.18402527],[ 3.91598877 16.57172885  0.61107202]
/home/eriklarsson/rirnet/peaks_GAN/database/data/9_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/9_p.npy,"[[14.178092  0.        0.       14.178092 14.178092 14.178092]
 [18.088533 18.088533  0.        0.        0.       18.088533]
 [ 0.        0.        0.        0.        0.        3.275245]]",[0.71574608 0.71574608 0.71574608 0.71574608 0.71574608 0.71574608],[4.65807583 8.99686949 1.70359048],[ 3.91598877 16.57172885  0.61107202]
/home/eriklarsson/rirnet/peaks_GAN/database/data/10_d.npy,/home/eriklarsson/rirnet/peaks_GAN/database/data/10_p.npy,"[[10.337983  10.337983   0.         0.        16.108633  16.108633
  16.108633  10.337983 ]
 [ 2.9500904 17.44763   17.44763    0.         0.         2.9500904
   2.9500904  2.9500904]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.9267924]]","[0.86605415 0.86605415 0.86605415 0.86605415 0.86605415 0.86605415
 0.86605415 0.86605415]",[ 1.94823393 16.19187853  1.6873683 ],[8.41103636 5.51087956 0.77162485]
