data_path,target_path,room_corners,room_absorption,room_mics,room_source
/home/felix/rirnet/peaks_GAN_refiner/database/data/0_d.npy,/home/felix/rirnet/peaks_GAN_refiner/database/data/0_p.npy,"[[ 6.711911   6.711911   0.         0.        13.864667  13.864667
  13.864667   6.711911 ]
 [ 3.2872753 18.093912  18.093912   0.         0.         3.2872753
   3.2872753  3.2872753]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.956599 ]]","[0.53250529 0.53250529 0.53250529 0.53250529 0.53250529 0.53250529
 0.53250529 0.53250529]",[3.45935234 5.47856018 0.99782881],[ 4.77014141 11.56878147  1.80328026]
/home/felix/rirnet/peaks_GAN_refiner/database/data/1_d.npy,/home/felix/rirnet/peaks_GAN_refiner/database/data/1_p.npy,"[[ 6.711911   6.711911   0.         0.        13.864667  13.864667
  13.864667   6.711911 ]
 [ 3.2872753 18.093912  18.093912   0.         0.         3.2872753
   3.2872753  3.2872753]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.956599 ]]","[0.53250529 0.53250529 0.53250529 0.53250529 0.53250529 0.53250529
 0.53250529 0.53250529]",[8.07037066 0.84002627 1.76180649],[ 4.77014141 11.56878147  1.80328026]
/home/felix/rirnet/peaks_GAN_refiner/database/data/2_d.npy,/home/felix/rirnet/peaks_GAN_refiner/database/data/2_p.npy,"[[ 6.711911   6.711911   0.         0.        13.864667  13.864667
  13.864667   6.711911 ]
 [ 3.2872753 18.093912  18.093912   0.         0.         3.2872753
   3.2872753  3.2872753]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.956599 ]]","[0.53250529 0.53250529 0.53250529 0.53250529 0.53250529 0.53250529
 0.53250529 0.53250529]",[ 4.58059465 14.3255201   1.86861518],[ 4.77014141 11.56878147  1.80328026]
/home/felix/rirnet/peaks_GAN_refiner/database/data/3_d.npy,/home/felix/rirnet/peaks_GAN_refiner/database/data/3_p.npy,"[[ 6.711911   6.711911   0.         0.        13.864667  13.864667
  13.864667   6.711911 ]
 [ 3.2872753 18.093912  18.093912   0.         0.         3.2872753
   3.2872753  3.2872753]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.956599 ]]","[0.53250529 0.53250529 0.53250529 0.53250529 0.53250529 0.53250529
 0.53250529 0.53250529]",[5.52750257 2.86540823 1.00346647],[ 4.77014141 11.56878147  1.80328026]
/home/felix/rirnet/peaks_GAN_refiner/database/data/4_d.npy,/home/felix/rirnet/peaks_GAN_refiner/database/data/4_p.npy,"[[ 6.711911   6.711911   0.         0.        13.864667  13.864667
  13.864667   6.711911 ]
 [ 3.2872753 18.093912  18.093912   0.         0.         3.2872753
   3.2872753  3.2872753]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.956599 ]]","[0.53250529 0.53250529 0.53250529 0.53250529 0.53250529 0.53250529
 0.53250529 0.53250529]",[2.83015867 1.86340947 0.61463602],[ 4.77014141 11.56878147  1.80328026]
/home/felix/rirnet/peaks_GAN_refiner/database/data/5_d.npy,/home/felix/rirnet/peaks_GAN_refiner/database/data/5_p.npy,"[[ 6.711911   6.711911   0.         0.        13.864667  13.864667
  13.864667   6.711911 ]
 [ 3.2872753 18.093912  18.093912   0.         0.         3.2872753
   3.2872753  3.2872753]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.956599 ]]","[0.53250529 0.53250529 0.53250529 0.53250529 0.53250529 0.53250529
 0.53250529 0.53250529]",[ 1.74684024 14.21203053  0.83440561],[ 4.77014141 11.56878147  1.80328026]
/home/felix/rirnet/peaks_GAN_refiner/database/data/6_d.npy,/home/felix/rirnet/peaks_GAN_refiner/database/data/6_p.npy,"[[ 6.711911   6.711911   0.         0.        13.864667  13.864667
  13.864667   6.711911 ]
 [ 3.2872753 18.093912  18.093912   0.         0.         3.2872753
   3.2872753  3.2872753]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.956599 ]]","[0.53250529 0.53250529 0.53250529 0.53250529 0.53250529 0.53250529
 0.53250529 0.53250529]",[3.95629893 3.27088541 1.51049214],[ 4.77014141 11.56878147  1.80328026]
/home/felix/rirnet/peaks_GAN_refiner/database/data/7_d.npy,/home/felix/rirnet/peaks_GAN_refiner/database/data/7_p.npy,"[[ 6.711911   6.711911   0.         0.        13.864667  13.864667
  13.864667   6.711911 ]
 [ 3.2872753 18.093912  18.093912   0.         0.         3.2872753
   3.2872753  3.2872753]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.956599 ]]","[0.53250529 0.53250529 0.53250529 0.53250529 0.53250529 0.53250529
 0.53250529 0.53250529]",[1.74714268 3.44534031 2.35667292],[ 4.77014141 11.56878147  1.80328026]
/home/felix/rirnet/peaks_GAN_refiner/database/data/8_d.npy,/home/felix/rirnet/peaks_GAN_refiner/database/data/8_p.npy,"[[ 6.711911   6.711911   0.         0.        13.864667  13.864667
  13.864667   6.711911 ]
 [ 3.2872753 18.093912  18.093912   0.         0.         3.2872753
   3.2872753  3.2872753]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.956599 ]]","[0.53250529 0.53250529 0.53250529 0.53250529 0.53250529 0.53250529
 0.53250529 0.53250529]",[3.83271821 1.14498069 1.88155094],[ 4.77014141 11.56878147  1.80328026]
/home/felix/rirnet/peaks_GAN_refiner/database/data/9_d.npy,/home/felix/rirnet/peaks_GAN_refiner/database/data/9_p.npy,"[[ 6.711911   6.711911   0.         0.        13.864667  13.864667
  13.864667   6.711911 ]
 [ 3.2872753 18.093912  18.093912   0.         0.         3.2872753
   3.2872753  3.2872753]
 [ 0.         0.         0.         0.         0.         0.
   0.         2.956599 ]]","[0.53250529 0.53250529 0.53250529 0.53250529 0.53250529 0.53250529
 0.53250529 0.53250529]",[4.71637135 1.83211356 0.65443274],[ 4.77014141 11.56878147  1.80328026]
