concrete-rough,floor,ceiling,wall
concrete-smooth,floor,ceiling,wall
concrete-porous,floor,ceiling,wall
concrete-clinker,floor,wall
brickwork-smooth-pointing,wall
brickwork-smooth-pointing-painted,wall
brickwork-standard,wall
brickwork-pointing,wall
ceramic-tiles,wall
breeze,wall
plaster,wall
plasterboard-100,wall
plasterboard-50,wall
plasterboard-25,wall
plywood-3-75,floor,ceiling,wall
plywood-5-50,floor,ceiling,wall
plywood-12-25,floor,ceiling,wall
plywood-12-30,floor,ceiling,wall
plywood-12-50,floor,ceiling,wall
plywood-12-150,floor,ceiling,wall
plywood-12-200,floor,ceiling,wall
plywood-solid,floor,ceiling,wall
timber-22-500,floor,ceiling,wall
timber-acoustic,floor,ceiling,wall
cedar,floor,ceiling,wall
mahogany,floor,ceiling,wall
marble,floor
wooden-floor,floor
linoleum-concrete,floor
parquet-concrete,floor
carpet-5-concrete,floor
carpet-6-closed-cell,floor
carpet-6-open-cell,floor
carpet-9-felt,floor
carpet-10-rubber,floor
carpet-15-rubbet,floor
composite,floor
rubber,floor
cork,floor
mineral-wool,ceiling
woodwool-100-25,ceiling
woodwool-100-0,ceiling
woodwool-75-0,ceiling
woodwool-50-25,ceiling
metal-perforated,celing
